Level	Rule Name	Subject	Property	Value
ERROR	missing_label	caudate nucleus	rdfs:label	
ERROR	deprecated_class_reference	MRI machine	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000394>
ERROR	deprecated_class_reference	MRI machine	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000395>
ERROR	deprecated_class_reference	MR image transformation	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000615>
ERROR	deprecated_class_reference	MR image transformation	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000616>
ERROR	deprecated_class_reference	MR image transformation	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000617>
ERROR	deprecated_class_reference	MR image transformation	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000620>
ERROR	deprecated_class_reference	MR image registration	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000618>
ERROR	deprecated_class_reference	MR image registration	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000619>
ERROR	deprecated_class_reference	MR image artifact correction	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000621>
ERROR	deprecated_class_reference	MR image bias field correction	rdfs:subClassOf	<http://purl.obolibrary.org/obo/MRIO_0000622>
WARN	annotation_whitespace	http://purl.obolibrary.org/obo/	Title	 MRI Ontology (MRI)
WARN	missing_definition	caudate nucleus	definition	
WARN	missing_obsolete_label	MRI machine	rdfs:label	MRI machine@en
WARN	missing_obsolete_label	MR imaging datum	rdfs:label	MR imaging datum@en
WARN	missing_obsolete_label	MR imaging data transformation	rdfs:label	MR imaging data transformation@en
WARN	missing_obsolete_label	1.5T MRI machine	rdfs:label	1.5T MRI machine@en
WARN	missing_obsolete_label	3T MRI machine	rdfs:label	3T MRI machine@en
WARN	missing_obsolete_label	text file	rdfs:label	text file@en
WARN	missing_obsolete_label	aligned image data set	rdfs:label	aligned image data set@en
WARN	missing_obsolete_label	MR image transformation	rdfs:label	MR image transformation@en
WARN	missing_obsolete_label	binarization	rdfs:label	binarization@en
WARN	missing_obsolete_label	inversion	rdfs:label	inversion@en
WARN	missing_obsolete_label	MR image registration	rdfs:label	MR image registration@en
WARN	missing_obsolete_label	antsRegistration	rdfs:label	antsRegistration@en
WARN	missing_obsolete_label	antsApplyTransforms	rdfs:label	antsApplyTransforms@en
WARN	missing_obsolete_label	MR image artifact correction	rdfs:label	MR image artifact correction@en
WARN	missing_obsolete_label	MR image bias field correction	rdfs:label	MR image bias field correction@en
WARN	missing_obsolete_label	N4 bias field correction	rdfs:label	N4 bias field correction@en
WARN	missing_obsolete_label	MRI acquisition sequence process	rdfs:label	MRI acquisition sequence process@en
