?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MRIO_0000516>		
<http://purl.obolibrary.org/obo/MRIO_0000504>		
<http://purl.obolibrary.org/obo/MRIO_0000379>	"an assay that produces MR data about an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000528>		
<http://purl.obolibrary.org/obo/MRIO_0000423>		
<http://purl.obolibrary.org/obo/MRIO_0000517>	"we set out to develop and validate an LVV quantification tool for this purpose. Our goal was not to produce a method more precise or accurate than those described above. Rather, we sought to produce a highly robust technique capable of operating on clinical-quality T2-FLAIR images and producing results similar to more established techniques run on high-resolution scans. To do this, we extended an earlier idea for whole brain analysis proposed by (Baillard et al., 2001), and adapted it to LVV measurement on T2-FLAIR images. The core of our approach is a combination of multi-atlas segmentation and level-set refinement. We also extended the cross-sectional method for direct longitudinal analysis by including an optional Jacobian integration step. We called the resulting algorithm “Neurological Software Tool for Reliable Atrophy Measurement” - NeuroSTREAM."	
<http://purl.obolibrary.org/obo/MRIO_0000601>		
<http://purl.obolibrary.org/obo/MRIO_0000613>		
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000628>	"Generated by the frequency-encode gradient, except that it is used twice in succession, and in opposite directions."	
<http://purl.obolibrary.org/obo/MRIO_0000609>		
<http://purl.obolibrary.org/obo/CCL_0000360>	"the distance (in cm or mm) over which an MR image is acquired or displayed."	
<http://purl.obolibrary.org/obo/MRIO_0000411>	"volumetry to determine the volume of the whole brain of an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000366>	"an MR image that demonstrates differences in the T1 relaxation times of tissues. \n\nTR: short\nTE: short\nfat: bright\nfluid: dark\n\nradiopedia"	
<http://purl.obolibrary.org/obo/UBERON_0010225>		
<http://purl.obolibrary.org/obo/MRIO_0000370>		
<http://purl.obolibrary.org/obo/MRIO_0000419>	"a functional assessment to determine the connectivity of regions of the brain in an evaluant"	
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000623>	"Radiofrequency pulses and gradients that result in a set of MR image data sets with a particular appearance."	
<http://purl.obolibrary.org/obo/MRIO__0000347>	"A timeseries of MRI images including pre- and post-contrast at different times"	
<http://purl.obolibrary.org/obo/UBERON_0001897>		
<http://purl.obolibrary.org/obo/MRIO_0000527>		
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000627>	"An inversion recovery (IR) pulse sequence is a spin echo pulse sequence preceded by a 180° RF pulse."	
<http://purl.obolibrary.org/obo/MRIO_0000600>		
<http://purl.obolibrary.org/obo/MRIO_0000612>		
<http://purl.obolibrary.org/obo/MRIO_0000503>		
<http://purl.obolibrary.org/obo/MRIO_0000608>		
<http://purl.obolibrary.org/obo/MRIO_0000364>	"The total number of independent data samples in the frequency and phase directions (number of pixels in the frequency encoding - and phase encoding direction)."	
<http://purl.obolibrary.org/obo/MRIO__0000348>	"A timeseries of MRI images like DCE perfusion, but using no injected contrast (uses flow coded pulses instead)"	
<http://purl.obolibrary.org/obo/MRIO_0000395>	"an MRI machine whose primary magnet has 3T of strength"	
<http://purl.obolibrary.org/obo/MRIO_0000367>	"an MR image that highlights differences in the T2 relaxation time of tissues.\n\nrepetition time (TR): long\necho time (TE): long\nflip angle: less important than with T1 weighting\nfat: intermediate-bright\nfluid: bright\n\nradiopedia"	
<http://purl.obolibrary.org/obo/MRIO__0000350>	"A set of multiple MRI images, including base (b=0) images and directionally coded images"	
<http://purl.obolibrary.org/obo/MRIO_0000417>	"an MR image objective to determine the 3D model of nerve tract data from diffusion images in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000380>	"the setting datum of an MRI machine"	
<http://purl.obolibrary.org/obo/MRIO__0000342>		
<http://purl.obolibrary.org/obo/MRIO_0000412>	"volumetry to determine the structure of brain regions in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000389>		
<http://purl.obolibrary.org/obo/MRIO_0000415>	"quantification to determine the ratio of carbon, oxygen and hydrogen atoms in macromolecules in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000365>	"The process of locating a MR signal by altering the phase of spins in one dimension with a pulsed magnetic field gradient along that dimension prior to the acquisition of the signal."	
<http://purl.obolibrary.org/obo/MRIO_0000526>		
<http://purl.obolibrary.org/obo/MRIO__0000353>	"A type of processed MRI image calculated as a results"	
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000629>	"Multiple echoes of different phase steps are acquired by rapidly reversing the readout or frequency- encoding gradient."@en	
<http://purl.obolibrary.org/obo/MRIO_0000611>		
<http://purl.obolibrary.org/obo/MRIO_0000378>	"an image creation device that creates MR images"	
<http://purl.obolibrary.org/obo/MRIO_0000623>		
<http://purl.obolibrary.org/obo/MRIO_0000514>		
<http://purl.obolibrary.org/obo/MRIO_0000502>		
<http://purl.obolibrary.org/obo/MRIO_0000525>	"Quantitative measurement of brain size, shape, and temporal change (for example, in order to estimate atrophy) is increasingly important in biomedical image analysis applications. New methods of structural analysis attempt to improve robustness, accuracy, and extent of automation. A fully automated method of longitudinal (temporal change) analysis, SIENA, was presented previously. In this paper, improvements to this method are described, and also an extension of SIENA to a new method for cross-sectional (single time point) analysis. The methods are fully automated, robust, and accurate: 0.15% brain volume change error (longitudinal): 0.5–1% brain volume accuracy for single-time point (cross-sectional). A particular advantage is the relative insensitivity to differences in scanning parameters. The methods provide easy manual review of their output by the automatic production of summary images which show the results of the brain extraction, registration, tissue segmentation, and final atrophy estimation."	
<http://purl.obolibrary.org/obo/MRIO_0000418>	"quantification to determine the iron content in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO__0000352>	"A type of T2-weighted image in which the acquisition is performed using a 2D spin-echo technique"	
<http://purl.obolibrary.org/obo/MRIO__0000349>	"A pair of MRI images pre- and post-application of an MT offset pulse"	
<http://purl.obolibrary.org/obo/MRIO_0000619>		
<http://purl.obolibrary.org/obo/MRIO_0000363>	"The not measured distance between the slices."	
<http://purl.obolibrary.org/obo/MRIO_0000414>	"quantification to determine the flow blood through the circulatory system of an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000392>		
<http://purl.obolibrary.org/obo/MRIO_0000394>	"an MRI machine whose primary magnet has 1.5T of strength"	
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000635>		
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000630>	"Angle at which a proton's axis shifts from its longitudinal place to its transverse plane by excitation from radiofrequency pulses."@en	
<http://purl.obolibrary.org/obo/MRIO_0000361>	"a parameter that can be selected by a technologist as a percent of our overall field of view.\n\nA different field of view (the scanned region) in the frequency and phase encoding directions that means the data acquisition with fewer measurement lines."	
<http://purl.obolibrary.org/obo/MRIO_0000388>		
<http://purl.obolibrary.org/obo/MRIO_0000416>	"quantification to determine the spread of molecules within an evaluant"	
<http://purl.obolibrary.org/obo/MRIO__0000341>		
<http://purl.obolibrary.org/obo/MRIO__0000358>	"The echo time (TE) refers to the time between the application of the radiofrequency excitation pulse and the peak of the signal induced in the coil. It is measured in milliseconds. The amount of T2 relaxation is controlled by the TE. (radiopedia)"	
<http://purl.obolibrary.org/obo/MRIO_0000422>	"an MR image objective to determine the specified quantity of a substance in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000381>	"a measurement datum produced by an MRI machine prior to transformation"	
<http://purl.obolibrary.org/obo/MRIO__0000346>	"A type of 2D MRI image"	
<http://purl.obolibrary.org/obo/MRIO_0000501>		
<http://purl.obolibrary.org/obo/MRIO_0000622>		
<http://purl.obolibrary.org/obo/MRIO_0000509>	"Based on preliminary experiments and established performance, we adopted a 3D U-Net semantic segmentation architecture for DeepGRAI. (Çiçek et al., 2016) The U-Net architecture is composed of two symmetric pathways – a descending contraction/encoding pathway which moves from low level voxel intensities at very high spatial resolution to abstract high-level features at coarse spatial resolution, and an ascending expansion/decoding pathway which moves from less localized high-level features to specific voxel classifications. Additionally, U-Net includes direct “skip” connections from the descending pathway into the ascending pathway, to provide the ascending pathway with low-level image feature information. In the current context, the descending pathway is essentially responsible for localizing the thalamus, and the ascending pathway is responsible for determining its precise borders."	
<http://purl.obolibrary.org/obo/MRIO_0000513>		
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000626>	"The refocusing of spin magnetisation by a pulse of resonant electromagnetic radiation."	
<http://purl.obolibrary.org/obo/MRIO__0000354>	"A type of functional MRI in which the participant is not given a task, but just rests during acquisision"	
<http://purl.obolibrary.org/obo/MRIO_0000520>	"T1 black holes are hypointense lesions commonly seen on T1WI in patients with multiple sclerosis, and indicates the chronic stage with white matter destruction, axonal loss and irreversible clinical outcome."	
<http://purl.obolibrary.org/obo/MRIO_0000618>		
<http://purl.obolibrary.org/obo/MRIO_0000413>	"an MR image objective to determine the presence of hypointense regions that normally appear as white matter on T1 image in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000391>		
<http://purl.obolibrary.org/obo/MRIO_0000383>	"the MRI machine setting datum about the radiofrequency pulse sequence"	
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000636>		
<http://purl.obolibrary.org/obo/MRIO_0000610>	"A measuement datum which is a data set that is made up of an n-dimensional array of elements (or entries)."	
<http://purl.obolibrary.org/obo/MRIO_0000387>		
<http://purl.obolibrary.org/obo/MRIO_0000399>	"an MR image objective to determine the presence of extravasated blood in the brain of an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000369>	"The number of data points collected in one, two or all three directions. Normally used for the 2D in plane sampling."	
<http://purl.obolibrary.org/obo/MRIO_0000605>		
<http://purl.obolibrary.org/obo/MRIO_0000617>		
<http://purl.obolibrary.org/obo/MRIO_0000621>		
<http://purl.obolibrary.org/obo/MRIO_0000500>		
<http://purl.obolibrary.org/obo/MRIO_0000524>		
<http://purl.obolibrary.org/obo/mrio.owl/MRIO_0000620>		
<http://purl.obolibrary.org/obo/MRIO_0000508>		
<http://purl.obolibrary.org/obo/MRIO_0000390>		
<http://purl.obolibrary.org/obo/MRIO_0000409>	"quantification to determine the number and size of lesions in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000410>	"an MR image objective to determine the volume of brain regions in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO__0000345>	"A type of post-contrast, T1 image for which the contrast agent is galolinium"	
<http://purl.obolibrary.org/obo/MRIO__0000344>	"A type of T1-weighted image in which the voxel size is no larger than x and anisotropy is no more than y"	
<http://purl.obolibrary.org/obo/MRIO_0000386>		
<http://purl.obolibrary.org/obo/MRIO_0000362>		
<http://purl.obolibrary.org/obo/MRIO_0000604>		
<http://purl.obolibrary.org/obo/MRIO_0000616>		
<http://purl.obolibrary.org/obo/MRIO_0000507>		
<http://purl.obolibrary.org/obo/MRIO_0000523>		
<http://purl.obolibrary.org/obo/MRIO_0000511>		
<http://purl.obolibrary.org/obo/MRIO__0000345>	"a T1 image where gadolidium contrast agent has been used in the subject before image acquistion"	
<http://purl.obolibrary.org/obo/UBERON_0013683>		
<http://purl.obolibrary.org/obo/MRIO_0000420>	"a functional assessment to determine the mapping of brain activity in an evaluant"	
<http://purl.obolibrary.org/obo/MRIO_0000519>		
<http://purl.obolibrary.org/obo/MRIO_0000398>	"an objective specification to determine a specified type of information about an entity evaluated by MR imaging"	
<http://purl.obolibrary.org/obo/MRIO_0000620>		
<http://purl.obolibrary.org/obo/MRIO_0000368>	"A type of MRI image in which the contrast is optimized to be"	
