term,predicate
http://purl.obolibrary.org/obo/MRIO_1000018,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000018,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000377,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000032,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000032,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000000,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000000,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000603,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000358,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000013,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000013,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000372,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000630,http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/MRIO_1000026,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000026,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000629,http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/MRIO_1000007,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000007,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000021,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000021,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000380,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000712,http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/MRIO_1000002,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000002,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000361,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000047,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000047,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000047,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000015,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000015,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_0000342,http://purl.org/dc/elements/1.1/creator
http://purl.obolibrary.org/obo/MRIO_1000028,http://purl.org/dc/elements/1.1/date
http://purl.obolibrary.org/obo/MRIO_1000028,http://purl.org/dc/elements/1.1/creator
