Level	Rule Name	Subject	Property	Value
WARN	missing_definition	volume measurement datum	textual definition	
WARN	missing_definition	thalamic volume measurement datum	textual definition	
WARN	missing_definition	segmented region mask	textual definition	
WARN	missing_definition	DeepGRAI analysis of the dorsal plus ventral thalamus	textual definition	
WARN	missing_definition	DeepGRAI analysis of the left dorsal thalamus	textual definition	
WARN	missing_definition	lesion mask	textual definition	
WARN	missing_definition	T2 lesion mask	textual definition	
WARN	missing_definition	FLAIR lesion mask	textual definition	
WARN	missing_definition	functional connectivity matrix	textual definition	
WARN	missing_definition	tensor measurement data set	textual definition	
WARN	missing_definition	ChaCo datum	textual definition	
WARN	missing_definition	connectivity matrix	textual definition	
WARN	missing_definition	structural connectivity matrix	textual definition	
WARN	missing_definition	nConMat matrix	textual definition	
WARN	missing_definition	nMapTFC matrix	textual definition	
WARN	missing_definition	Smith resting state network atlas	textual definition	
WARN	missing_definition	default mode network atlas	textual definition	
WARN	missing_definition	Desikan-Killiany functional connectivity matrix	textual definition	
WARN	missing_definition	default mode network functional connectivity matrix	textual definition	
WARN	missing_definition	dorsal plus ventral thalamus volume measurement datum	textual definition	
WARN	missing_definition	left dorsal thalamic volume measurement datum	textual definition	
WARN	missing_definition	right dorsal thalamic volume measurement datum	textual definition	
WARN	missing_definition	dorsal thalamic volume measurement datum	textual definition	
WARN	missing_definition	DeepGRAI analysis of the dorsal thalamus	textual definition	
WARN	missing_definition	DeepGRAI analysis of the right dorsal thalamus	textual definition	
WARN	missing_definition	brain region atlas image data set	textual definition	
WARN	missing_definition	probabilistic brain region atlas image dataset	textual definition	
WARN	missing_definition	Desikan-Killiany brain atlas image data set	textual definition	
WARN	missing_definition	deterministic brain region atlas image data set	textual definition	
WARN	missing_definition	whole brain volume measurement datum	textual definition	
WARN	missing_definition	grey matter volume measurement datum	textual definition	
WARN	missing_definition	white matter volume measurement daturm	textual definition	
WARN	missing_definition	brain volume measurement datum	textual definition	
WARN	missing_definition	CSF volume measurement datum	textual definition	
WARN	missing_definition	thalamic volume measurement z-score	textual definition	
WARN	missing_definition	FreeSurfer segmentation map	textual definition	
WARN	missing_definition	peripheral grey matter volume measurement datum	textual definition	
WARN	missing_definition	imaging contrast reagent	textual definition	
WARN	missing_definition	2D T1 GRE sequence	textual definition	
WARN	missing_definition	3D T1 GRE sequence	textual definition	
