metric,metric_value,metric_type
abox_axiom_count,16,single_value
abox_axiom_count_incl,311,single_value
annotation_property_count,19,single_value
annotation_property_count_incl,187,single_value
axiom_count,1760,single_value
axiom_count_incl,72827,single_value
class_count,281,single_value
class_count_incl,4137,single_value
dataproperty_count,6,single_value
dataproperty_count_incl,8,single_value
datatypes_count,6,single_value
datatypes_count_incl,11,single_value
individual_count,6,single_value
individual_count_incl,288,single_value
logical_axiom_count,511,single_value
logical_axiom_count_incl,15642,single_value
obj_property_count,18,single_value
obj_property_count_incl,248,single_value
ontology_anno_count,11,single_value
ontology_iri,http://purl.obolibrary.org/obo/,single_value
ontology_version_iri,http://purl.obolibrary.org/obo/mrio/releases/2021-04-10/mrio.owl,single_value
owl2,true,single_value
owl2_dl,true,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
rbox_axiom_count,4,single_value
rbox_axiom_count_incl,468,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,4879,single_value
signature_entity_count_incl,4879,single_value
tbox_axiom_count,491,single_value
tbox_axiom_count_incl,14863,single_value
tboxrbox_axiom_count,495,single_value
tboxrbox_axiom_count_incl,15331,single_value
valid_imports,http://purl.obolibrary.org/obo/MRIO/releases/2022-11-22/imports/obi_import.owl,list_value
valid_imports,http://purl.obolibrary.org/obo/bfo/2019-08-26/bfo.owl,list_value
valid_imports,http://purl.obolibrary.org/obo/mondo.owl,list_value
valid_imports,http://purl.obolibrary.org/obo/ncit.owl,list_value
valid_imports,http://purl.obolibrary.org/obo/pato.owl,list_value
valid_imports,http://purl.obolibrary.org/obo/uberon.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/MRIO/releases/2022-11-22/imports/obi_import.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/bfo/2019-08-26/bfo.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/mondo.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/ncit.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/pato.owl,list_value
valid_imports_incl,http://purl.obolibrary.org/obo/uberon.owl,list_value
